37149WO06,"['37149CG05', '3716118', '3716134', '37149GC09', '37149CL07', '37149SA04']"
37149SA04,"['37089SB', '37149CG05', '37149WO06', '37149TR123', '37089RR']"
37149CL07,"['37149WO06', '37149GC09', '37149CL08', '37149TR123']"
37149GC09,"['37149CL07', '37149WO06', '3716134', '3716109A', '37149CL08']"
37149CG05,"['37089ED', '3716106A', '3716118', '37149WO06', '37149SA04', '37089SB']"
3716134,"['37149WO06', '3716118', '3716127', '3716130', '3716109A', '37149GC09']"
3716118,"['3716106A', '3716116A', '3716127', '3716134', '37149WO06', '37149CG05']"
37149TR123,"['37149SA04', '37149CL07', '37149CL08']"
37089RR,"['37089EF', '37089SB', '37149SA04', '37089GR']"
37089SB,"['37089SE', '37089MG', '37089NB', '37089ED', '37149CG05', '37149SA04', '37089RR', '37089EF']"
37149CL08,"['37149TR123', '37149CL07', '37149GC09']"
3716109A,"['37149GC09', '3716134', '3716130', '3716113', '3716129', '3716119', '3716105A']"
3716106A,"['3702137.1', '37111CCREEK', '3716116A', '3716118', '37149CG05', '37089ED', '37089BC']"
37089ED,"['37089HC', '3702138.2', '37089BC', '3716106A', '37149CG05', '37089SB', '37089NB', '37089CC']"
3715916,"['3715909', '3715902', '3715917', '3702504-05']"
3715909,"['3715904', '3715919', '3715902', '3715916', '3702504-05', '3702504-09', '3715944']"
3702504-05,"['3715909', '3715916', '3702504-04', '3702504-06', '3702504-09']"
3715917,"['3715916', '3715902', '3715920', '3715933', '3702504-03', '3702504-04']"
3715902,"['3715909', '3715919', '3715920', '3715917', '3715916']"
3715920,"['3715919', '3715906', '3715933', '3715917', '3715902']"
3715933,"['3715920', '3715906', '3715905', '3715903', '3715913', '3702505-00', '3715917']"
3715919,"['3715904', '3715905', '3715906', '3715920', '3715902', '3715909']"
3715906,"['3715905', '3715933', '3715920', '3715919']"
3715944,"['37097CC3', '3715904', '3715909', '3702504-09', '3702503-00']"
37097CC3,"['37097CC2', '37097BA', '3715924', '3715904', '3715944', '3702503-00', '37097CC1']"
3702503-00,"['37119127', '37097CC1', '37097CC3', '3715944', '3702504-09', '3702504-08', '3702502-08']"
3702504-09,"['3715944', '3715909', '3702504-05', '3702504-06', '3702504-07', '3702504-10', '3702504-08', '3702503-00']"
3715904,"['3715924', '3715929', '3715908', '3715905', '3715919', '3715909', '3715944', '37097CC3']"
3715945,"['3715911', '3705706', '3715928', '3715940', '3715939']"
3715940,"['3715939', '3715945', '3715928', '3715938', '3715935', '3715942']"
3705706,"['3705907', '3705778', '3705728', '3705710', '3715931', '3715928', '3715945', '3715911']"
