TRACT,GEOID,xcoord,ycoord,Tract_2010Census_DP1_DP0090001,Tract_2010Census_DP1_DP0090002,Tract_2010Census_DP1_DP0090003,Tract_2010Census_DP1_DP0090004,Tract_2010Census_DP1_DP0090005,Tract_2010Census_DP1_DP0090006
003400,11001003400,-77.01772,38.92150,698,3549,86,142,11,85
003500,11001003500,-77.02434,38.92239,713,2772,40,134,8,227
003600,11001003600,-77.02963,38.92368,1907,1703,52,205,11,508
003700,11001003700,-77.03434,38.92287,2072,2661,83,267,25,940
003800,11001003800,-77.03918,38.92164,3036,902,60,339,8,475
003900,11001003900,-77.04396,38.92548,3420,651,64,284,7,243
006500,11001006500,-77.00339,38.88382,2140,247,26,145,8,34
001500,11001001500,-77.05408,38.97350,5030,710,41,242,10,85
001600,11001001600,-77.03784,38.98455,1119,2784,59,100,1,86
001702,11001001702,-77.01610,38.97179,1110,1436,40,108,3,91
000100,11001000100,-77.06079,38.90610,4518,122,21,248,4,63
000201,11001000201,-77.07485,38.90933,3102,306,27,599,11,65
000202,11001000202,-77.06962,38.90621,4821,192,21,451,10,69
000300,11001000300,-77.07566,38.91756,5639,187,34,445,10,98
000400,11001000400,-77.06590,38.92390,1271,59,4,118,1,32
000501,11001000501,-77.05172,38.92659,2945,156,25,313,4,50
000902,11001000902,-77.10751,38.92798,1927,95,16,117,3,17
001001,11001001001,-77.08847,38.94896,6588,372,51,604,11,96
001002,11001001002,-77.07889,38.93843,2885,220,33,370,6,47
004001,11001004001,-77.04654,38.92074,3345,172,37,222,13,95
004002,11001004002,-77.04374,38.91811,2289,253,19,225,5,94
004100,11001004100,-77.05205,38.91566,2318,144,22,204,4,87
004201,11001004201,-77.03885,38.91622,2801,273,25,256,2,85
004202,11001004202,-77.04304,38.91341,2353,148,22,266,10,63
004300,11001004300,-77.03415,38.91681,1918,939,39,192,6,261
004400,11001004400,-77.02759,38.91702,3091,1061,49,321,5,180
001100,11001001100,-77.07768,38.95725,4137,331,28,361,7,70
001200,11001001200,-77.07053,38.94623,4212,329,41,464,8,130
001301,11001001301,-77.05460,38.95384,3143,415,22,424,1,71
001302,11001001302,-77.05613,38.94117,5767,419,43,717,11,104
001401,11001001401,-77.07061,38.96531,2634,215,20,253,4,62
001402,11001001402,-77.06310,38.96061,2398,396,18,194,1,76
000502,11001000502,-77.05956,38.92836,2802,121,32,248,1,89
001803,11001001803,-77.03974,38.96708,421,2434,35,87,13,648
001804,11001001804,-77.03044,38.96710,667,3057,65,69,11,805
001901,11001001901,-77.02363,38.96469,497,3122,87,55,6,408
003301,11001003301,-77.01146,38.92043,1042,2084,45,104,11,53
003302,11001003302,-77.01119,38.91390,792,1273,28,61,0,71
008804,11001008804,-76.98123,38.91024,121,2214,19,15,0,81
008903,11001008903,-76.97771,38.90412,65,2531,24,12,1,55
008904,11001008904,-76.97485,38.90095,49,3229,38,21,3,38
009000,11001009000,-76.95402,38.92291,160,2505,38,87,1,45
009102,11001009102,-76.98898,38.91875,154,3871,31,22,3,121
009201,11001009201,-76.99894,38.92878,784,1060,22,72,6,116
009203,11001009203,-77.00553,38.92198,311,2174,29,45,6,83
009204,11001009204,-76.99877,38.92342,195,2098,55,19,1,250
007200,11001007200,-77.00089,38.87513,1738,900,24,174,6,44
007301,11001007301,-77.02305,38.84073,1944,873,48,182,44,130
007304,11001007304,-76.98518,38.84089,51,3475,23,15,3,16
007401,11001007401,-76.99692,38.86455,19,2370,20,9,1,16
007403,11001007403,-76.97444,38.84847,22,2835,11,15,0,10
